번호,명칭,위치,동이름,위도,경도,설치기구종류,운동기구 총계,담당부서,데이터기준일
1,도림천,신림동 808-126 ~ 구로교(구로디지털단지역) (관악구 6.7km 관리),대학동,37.45922056,126.9474365,"워킹머신 (4개),롤링웨이스트 (3개),허리돌리기 (2개),크로스컨트리 (5개),트윈트위스트 (3개),등허리(1개),스트레칭 로라 (1개),역기올리기 (4개),매달리기 (2개), 윗몸일으키기 (4개),풀웨이트 (2개),등허리지압기 (3개),워밍암 (4개),거꾸리 (1개),오금펴기 (1개), 철봉 (1개),평행봉 (3개),자유평행봉 (1개)",45,치수과,#######
2,관악산 야외식물원,신림동 205-1,대학동,37.46117532,126.948224,"등허리운동,뱃살운동,다리운동,허리운동,노젓기운동,괄약근운동,양다리운동,옆회전운동,평행봉",9,공원녹지과,#######
3,관악산 샘말공원,서울특별시 관악구 신림동 신림로,신림동,37.46490032,126.9384872,"양다리운동,옆회전운동,원그리기운동,허리운동,노젓기운동,마라톤운동,팔올리기운동,하체단련기,팔내리기,허벅지운동,다리운동",11,공원녹지과,#######
4,맨발공원,신림동 산 27-5,대학동,37.46653022,126.9443508,"원그리기운동,팔내리기운동,옆회전운동,허리돌리기,역기,윗몸일으키기,평행봉, 철봉,달리기운동,등허리지압기,스윙워커머신",14,공원녹지과,#######
5,제2구민운동장,신림동 58-8,신림동,37.4581916,126.9336538,"원그리기운동,허리운동,옆회전운동,양다리운동,팔올리기운동,노젓기운동,뱃살운동",7,공원녹지과,#######
6,신림2-1배수지,서울특별시 관악구 삼성동 1713-6,삼성동,37.4632424,126.9274051,"철봉,역기,평행봉,자전거,오금펴기,원그리기+양회전,파도타기,달리기,등허리지압,허리돌리기+윗몸일으키기,노젓기+역기내리기,양팔줄당기기,허리돌리기",13,공원녹지과,#######
7,봉천11배수지공원(놀이터부근),서울특별시 관악구 인헌동 산3-8,인헌동,37.46918723,126.9701342,"파도타기,등허리지압기,양다리운동,원그리기운동,팔올리기,허리운동",6,공원녹지과,#######
8,봉천11배수지공원(배드민턴장부근),서울특별시 관악구 인헌동 180-4,인헌동,37.46869887,126.9700973,"크로스컨트리,워밍암,롤링웨이트,윗몸일으키기,평행봉,2단철봉",6,공원녹지과,#######
9,신림6배수지공원,서울특별시 관악구 삼성동 336-8,삼성동,37.46740181,126.9261447,"윗몸일으키기,역기,철봉,평행봉,허리돌리기,원그리기운동,허리운동,팔내리기운동,양다리운동,옆회전운동,뱃살운동,팔올리기운동,노젓기운동,오금펴기운동,등허리지압기,양회전운동,괄약근운동,공중걷기,거꾸로매달리기,골반운동",29,공원녹지과,#######
10,선우공원,신림동 산 117-28,미성동,37.46863639,126.9130713,"다리벌리기,스트레칭벤치,허리펴기,오금펴기,역기올리기,등펴기,달리기,공중걷기,윗몸일으키기,평행봉,허리돌리기,노젓기운동,원그리기운동,옆회전운동,역기운동,공중걷기,양팔줄당기기,파도타기",19,공원녹지과,#######
